season,months,days,block,clock_hours,hours,share_of_year
S1,"Dec, Jan",62 d,H01,21–02,6 h,4.25%
S1,"Dec, Jan",62 d,H02,03–05,3 h,2.12%
S1,"Dec, Jan",62 d,H03,06–06,1 h,0.71%
S1,"Dec, Jan",62 d,H04,07–07,1 h,0.71%
S1,"Dec, Jan",62 d,H05,08–08,1 h,0.71%
S1,"Dec, Jan",62 d,H06,09–10,2 h,1.42%
S1,"Dec, Jan",62 d,H07,11–12,2 h,1.42%
S1,"Dec, Jan",62 d,H08,13–14,2 h,1.42%
S1,"Dec, Jan",62 d,H09,15–16,2 h,1.42%
S1,"Dec, Jan",62 d,H10,17–17,1 h,0.71%
S1,"Dec, Jan",62 d,H11,18–18,1 h,0.71%
S1,"Dec, Jan",62 d,H12,19–20,2 h,1.42%
S2,"Feb, Mar",59 d,H01,21–02,6 h,4.04%
S2,"Feb, Mar",59 d,H02,03–05,3 h,2.02%
S2,"Feb, Mar",59 d,H03,06–06,1 h,0.67%
S2,"Feb, Mar",59 d,H04,07–07,1 h,0.67%
S2,"Feb, Mar",59 d,H05,08–08,1 h,0.67%
S2,"Feb, Mar",59 d,H06,09–10,2 h,1.35%
S2,"Feb, Mar",59 d,H07,11–12,2 h,1.35%
S2,"Feb, Mar",59 d,H08,13–14,2 h,1.35%
S2,"Feb, Mar",59 d,H09,15–16,2 h,1.35%
S2,"Feb, Mar",59 d,H10,17–17,1 h,0.67%
S2,"Feb, Mar",59 d,H11,18–18,1 h,0.67%
S2,"Feb, Mar",59 d,H12,19–20,2 h,1.35%
S3,"Apr, May",61 d,H01,21–02,6 h,4.18%
S3,"Apr, May",61 d,H02,03–05,3 h,2.09%
S3,"Apr, May",61 d,H03,06–06,1 h,0.70%
S3,"Apr, May",61 d,H04,07–07,1 h,0.70%
S3,"Apr, May",61 d,H05,08–08,1 h,0.70%
S3,"Apr, May",61 d,H06,09–10,2 h,1.39%
S3,"Apr, May",61 d,H07,11–12,2 h,1.39%
S3,"Apr, May",61 d,H08,13–14,2 h,1.39%
S3,"Apr, May",61 d,H09,15–16,2 h,1.39%
S3,"Apr, May",61 d,H10,17–17,1 h,0.70%
S3,"Apr, May",61 d,H11,18–18,1 h,0.70%
S3,"Apr, May",61 d,H12,19–20,2 h,1.39%
S4,"Jun, Jul",61 d,H01,21–02,6 h,4.18%
S4,"Jun, Jul",61 d,H02,03–05,3 h,2.09%
S4,"Jun, Jul",61 d,H03,06–06,1 h,0.70%
S4,"Jun, Jul",61 d,H04,07–07,1 h,0.70%
S4,"Jun, Jul",61 d,H05,08–08,1 h,0.70%
S4,"Jun, Jul",61 d,H06,09–10,2 h,1.39%
S4,"Jun, Jul",61 d,H07,11–12,2 h,1.39%
S4,"Jun, Jul",61 d,H08,13–14,2 h,1.39%
S4,"Jun, Jul",61 d,H09,15–16,2 h,1.39%
S4,"Jun, Jul",61 d,H10,17–17,1 h,0.70%
S4,"Jun, Jul",61 d,H11,18–18,1 h,0.70%
S4,"Jun, Jul",61 d,H12,19–20,2 h,1.39%
S5,"Aug, Sep",61 d,H01,21–02,6 h,4.18%
S5,"Aug, Sep",61 d,H02,03–05,3 h,2.09%
S5,"Aug, Sep",61 d,H03,06–06,1 h,0.70%
S5,"Aug, Sep",61 d,H04,07–07,1 h,0.70%
S5,"Aug, Sep",61 d,H05,08–08,1 h,0.70%
S5,"Aug, Sep",61 d,H06,09–10,2 h,1.39%
S5,"Aug, Sep",61 d,H07,11–12,2 h,1.39%
S5,"Aug, Sep",61 d,H08,13–14,2 h,1.39%
S5,"Aug, Sep",61 d,H09,15–16,2 h,1.39%
S5,"Aug, Sep",61 d,H10,17–17,1 h,0.70%
S5,"Aug, Sep",61 d,H11,18–18,1 h,0.70%
S5,"Aug, Sep",61 d,H12,19–20,2 h,1.39%
S6,"Oct, Nov",61 d,H01,21–02,6 h,4.18%
S6,"Oct, Nov",61 d,H02,03–05,3 h,2.09%
S6,"Oct, Nov",61 d,H03,06–06,1 h,0.70%
S6,"Oct, Nov",61 d,H04,07–07,1 h,0.70%
S6,"Oct, Nov",61 d,H05,08–08,1 h,0.70%
S6,"Oct, Nov",61 d,H06,09–10,2 h,1.39%
S6,"Oct, Nov",61 d,H07,11–12,2 h,1.39%
S6,"Oct, Nov",61 d,H08,13–14,2 h,1.39%
S6,"Oct, Nov",61 d,H09,15–16,2 h,1.39%
S6,"Oct, Nov",61 d,H10,17–17,1 h,0.70%
S6,"Oct, Nov",61 d,H11,18–18,1 h,0.70%
S6,"Oct, Nov",61 d,H12,19–20,2 h,1.39%
